,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,car,because
12,mettre,to put
13,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,parle,speak
27,étaient,were
28,attention,Warning
29,voici,here is
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,train,train
37,yeux,eyes
38,façon,way
39,dont,whose
40,trouve,find
41,premier,first
42,perdu,lost
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,cause,cause
66,enfin,finally
67,eau,water
68,attendez,Wait
69,parti,left
70,boulot,job
71,arrêter,Stop
72,dirait,would say
73,terre,Earth
74,donne,given
75,loin,far
76,fin,end
77,croire,believe
78,chérie,sweetheart
79,gros,large
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play
84,bureau,office
